#  aims_uuid : A391CB3C-1CEF-4591-A2B9-296226787F70                                
# Angular momentum resolved density for species Oas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.405020 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.59497971        0.21206978       -0.00067993        0.20809306        0.00440910        0.00022836        0.00001919
       -5.57495969        0.18586828       -0.00077156        0.18204203        0.00434850        0.00022761        0.00002169
       -5.55493967        0.16255731       -0.00087955        0.15894200        0.00424423        0.00022632        0.00002431
       -5.53491965        0.14281272       -0.00099514        0.13945244        0.00410377        0.00022473        0.00002692
       -5.51489963        0.12707663       -0.00110903        0.12399835        0.00393491        0.00022298        0.00002943
       -5.49487961        0.11550391       -0.00121279        0.11271836        0.00374545        0.00022117        0.00003172
       -5.47485959        0.10796363       -0.00129994        0.10546737        0.00354313        0.00021934        0.00003374
       -5.45483957        0.10409055       -0.00136633        0.10186839        0.00333559        0.00021748        0.00003542
       -5.43481955        0.10337013       -0.00140994        0.10139744        0.00313029        0.00021557        0.00003677
       -5.41479953        0.10523490       -0.00143027        0.10347934        0.00293448        0.00021357        0.00003779
       -5.39477951        0.10914948       -0.00142774        0.10757221        0.00275503        0.00021146        0.00003851
       -5.37475949        0.11466712       -0.00140312        0.11322360        0.00259840        0.00020923        0.00003902
       -5.35473947        0.12144899       -0.00135746        0.12008970        0.00247048        0.00020688        0.00003940
       -5.33471945        0.12924770       -0.00129220        0.12791926        0.00237644        0.00020442        0.00003978
       -5.31469943        0.13786540       -0.00120943        0.13651230        0.00232040        0.00020185        0.00004030
       -5.29467941        0.14710207       -0.00111222        0.14566914        0.00230493        0.00019912        0.00004110
       -5.27465939        0.15670996       -0.00100455        0.15514543        0.00233059        0.00019620        0.00004229
       -5.25463937        0.16636569       -0.00089116        0.16462448        0.00239541        0.00019299        0.00004396
       -5.23461935        0.17566455       -0.00077705        0.17371133        0.00249477        0.00018941        0.00004609
       -5.21459933        0.18413475       -0.00066693        0.18194618        0.00262149        0.00018540        0.00004860
       -5.19457931        0.19126560       -0.00056472        0.18883150        0.00276657        0.00018094        0.00005132
       -5.17455929        0.19654380       -0.00047323        0.19386686        0.00292007        0.00017609        0.00005401
       -5.15453927        0.19949451       -0.00039398        0.19658878        0.00307229        0.00017101        0.00005641
       -5.13451925        0.19972671       -0.00032728        0.19661499        0.00321481        0.00016594        0.00005825
       -5.11449923        0.19698174       -0.00027242        0.19369230        0.00334132        0.00016122        0.00005932
       -5.09447921        0.19118107       -0.00022786        0.18774419        0.00344802        0.00015723        0.00005949
       -5.07445919        0.18246389       -0.00019158        0.17890866        0.00353368        0.00015441        0.00005872
       -5.05443917        0.17120249       -0.00016125        0.16755417        0.00359928        0.00015320        0.00005708
       -5.03441915        0.15798447       -0.00013454        0.15426271        0.00364750        0.00015405        0.00005475
       -5.01439913        0.14355800       -0.00010928        0.13977609        0.00368191        0.00015734        0.00005195
       -4.99437911        0.12874660       -0.00008360        0.12491177        0.00370614        0.00016337        0.00004892
       -4.97435909        0.11434926       -0.00005599        0.11046400        0.00372305        0.00017227        0.00004592
       -4.95433907        0.10104695       -0.00002532        0.09711118        0.00373401        0.00018393        0.00004315
       -4.93431905        0.08933482        0.00000920        0.08534850        0.00373842        0.00019797        0.00004073
       -4.91429903        0.07949190        0.00004812        0.07545760        0.00373379        0.00021368        0.00003871
       -4.89427901        0.07158956        0.00009173        0.06751461        0.00371613        0.00023005        0.00003706
       -4.87425899        0.06553078        0.00014013        0.06142824        0.00368090        0.00024583        0.00003567
       -4.85423897        0.06110607        0.00019326        0.05699442        0.00362426        0.00025969        0.00003443
       -4.83421895        0.05805157        0.00025100        0.05395285        0.00354423        0.00027032        0.00003318
       -4.81419893        0.05609753        0.00031340        0.05203404        0.00344163        0.00027665        0.00003181
       -4.79417891        0.05500091        0.00038110        0.05099103        0.00332055        0.00027800        0.00003023
       -4.77415889        0.05456120        0.00045567        0.05061475        0.00318817        0.00027419        0.00002842
       -4.75413887        0.05462230        0.00053998        0.05073632        0.00305405        0.00026556        0.00002640
       -4.73411885        0.05506517        0.00063808        0.05122084        0.00292906        0.00025295        0.00002424
       -4.71409883        0.05579638        0.00075483        0.05195787        0.00282407        0.00023754        0.00002207
       -4.69407881        0.05673632        0.00089490        0.05285204        0.00274863        0.00022074        0.00002000
       -4.67405879        0.05780974        0.00106146        0.05381635        0.00270978        0.00020398        0.00001816
       -4.65403877        0.05894006        0.00125488        0.05476887        0.00271112        0.00018855        0.00001665
       -4.63401875        0.06004779        0.00147165        0.05563298        0.00275221        0.00017542        0.00001552
       -4.61399873        0.06105313        0.00170406        0.05634056        0.00282848        0.00016523        0.00001480
       -4.59397871        0.06188238        0.00194079        0.05683736        0.00293157        0.00015818        0.00001448
       -4.57395869        0.06247758        0.00216857        0.05709000        0.00305043        0.00015411        0.00001448
       -4.55393867        0.06280848        0.00237456        0.05709392        0.00317272        0.00015256        0.00001473
       -4.53391865        0.06288560        0.00254917        0.05688175        0.00328671        0.00015283        0.00001513
       -4.51389863        0.06277245        0.00268857        0.05653105        0.00338306        0.00015418        0.00001558
       -4.49387861        0.06259443        0.00279611        0.05617016        0.00345628        0.00015588        0.00001600
       -4.47385859        0.06254116        0.00288243        0.05597955        0.00350550        0.00015735        0.00001632
       -4.45383857        0.06285863        0.00296372        0.05618579        0.00353438        0.00015824        0.00001652
       -4.43381855        0.06382852        0.00305846        0.05704489        0.00355017        0.00015843        0.00001656
       -4.41379853        0.06573340        0.00318345        0.05881330        0.00356209        0.00015808        0.00001648
       -4.39377851        0.06881027        0.00334974        0.06170730        0.00357939        0.00015753        0.00001630
       -4.37375849        0.07319858        0.00355969        0.06585606        0.00360951        0.00015726        0.00001606
       -4.35373847        0.07889311        0.00380572        0.07125724        0.00365662        0.00015772        0.00001581
       -4.33371845        0.08571407        0.00407115        0.07774715        0.00372091        0.00015926        0.00001560
       -4.31369843        0.09330557        0.00433269        0.08499675        0.00379861        0.00016207        0.00001546
